,template_id,answer,count
128,descriptive_24,triangle,392
129,counterfactual_3,1,1088
130,counterfactual_3,0,1086
131,counterfactual_3,3,280
132,counterfactual_3,2,540
133,counterfactual_3,4,6
134,counterfactual_1,True,257
135,counterfactual_1,False,2743
136,cause_0,False,1050
137,cause_0,True,97
138,descriptive_37,True,1787
139,descriptive_37,False,579
140,prevent_1,False,2620
141,prevent_1,True,168
142,enable_0,False,967
143,enable_0,True,180
144,descriptive_2,0,1662
145,descriptive_2,1,937
146,descriptive_2,2,323
147,descriptive_2,3,70
148,descriptive_2,4,7
149,descriptive_2,5,1
150,descriptive_30,True,921
151,descriptive_30,False,1445
152,descriptive_8,0,2682
153,descriptive_8,1,260
154,descriptive_8,3,15
155,descriptive_8,2,41
156,descriptive_8,4,2
157,descriptive_15,2,877
158,descriptive_15,1,927
159,descriptive_15,3,463
160,descriptive_15,0,634
161,descriptive_15,4,97
162,descriptive_15,5,2
163,enable_2,False,2256
164,enable_2,True,110
165,descriptive_16,2,187
166,descriptive_16,0,1370
167,descriptive_16,1,561
168,descriptive_16,3,44
169,descriptive_16,4,1
170,descriptive_27,True,1328
171,descriptive_27,False,835
172,descriptive_26,True,968
173,descriptive_26,False,1195
174,counterfactual_4,0,2055
175,counterfactual_4,3,58
176,counterfactual_4,1,674
177,counterfactual_4,2,198
178,counterfactual_4,4,14
179,counterfactual_4,5,1
180,descriptive_21,1,639
181,descriptive_21,0,1539
182,descriptive_21,2,164
183,descriptive_21,3,24
184,enable_1,False,2051
185,enable_1,True,112
186,enable_5,0,2819
187,enable_5,1,178
188,enable_5,2,3
189,prevent_4,0,2747
190,prevent_4,1,243
191,prevent_4,2,10
192,descriptive_1,0,2526
193,descriptive_1,1,451
194,descriptive_1,2,22
195,descriptive_1,3,1
196,counterfactual_0,False,2272
197,counterfactual_0,True,728
198,descriptive_28,False,980
199,descriptive_28,True,167
200,cause_4,0,2723
201,cause_4,1,242
202,cause_4,2,33
203,cause_4,3,2
204,descriptive_18,0,926
205,descriptive_18,2,37
206,descriptive_18,1,178
207,descriptive_18,3,5
208,descriptive_18,4,1
209,descriptive_14,1,1120
210,descriptive_14,0,1347
211,descriptive_14,3,90
212,descriptive_14,2,439
213,descriptive_14,4,4
214,descriptive_9,0,2789
215,descriptive_9,1,204
216,descriptive_9,2,7
217,descriptive_11,1,767
218,descriptive_11,3,85
219,descriptive_11,0,1853
220,descriptive_11,2,266
221,descriptive_11,4,26
222,descriptive_11,5,3
223,descriptive_0,0,2354
224,descriptive_0,1,380
225,descriptive_0,2,172
226,descriptive_0,4,23
227,descriptive_0,3,71
228,cause_5,0,2701
229,cause_5,1,276
230,cause_5,2,20
231,cause_5,3,3
