,template_id,answer,answer_type,count
115,counterfactual_3,4,Count,6
116,descriptive_25,circle,Shape,770
117,descriptive_25,triangle,Shape,407
118,descriptive_25,cube,Shape,470
119,counterfactual_0,True,Boolean,646
120,counterfactual_0,False,Boolean,646
121,descriptive_18,0,Count,36
122,descriptive_18,1,Count,36
123,descriptive_18,2,Count,5
124,descriptive_18,3,Count,2
125,descriptive_18,4,Count,1
126,enable_1,False,Boolean,112
127,enable_1,True,Boolean,112
128,prevent_3,1,Count,41
129,prevent_3,0,Count,41
130,prevent_3,2,Count,11
131,cause_0,False,Boolean,97
132,cause_0,True,Boolean,97
133,descriptive_37,False,Boolean,301
134,descriptive_37,True,Boolean,301
135,descriptive_32,False,Boolean,625
136,descriptive_32,True,Boolean,625
137,descriptive_9,0,Count,45
138,descriptive_9,1,Count,45
139,descriptive_9,2,Count,7
140,counterfactual_2,True,Boolean,788
141,counterfactual_2,False,Boolean,788
142,prevent_0,False,Boolean,76
143,prevent_0,True,Boolean,76
144,counterfactual_6,True,Boolean,947
145,counterfactual_6,False,Boolean,947
146,cause_2,False,Boolean,223
147,cause_2,True,Boolean,223
148,descriptive_2,3,Count,19
149,descriptive_2,1,Count,33
150,descriptive_2,2,Count,33
151,descriptive_2,0,Count,33
152,descriptive_2,4,Count,3
153,descriptive_2,5,Count,1
154,descriptive_29,False,Boolean,121
155,descriptive_29,True,Boolean,121
156,descriptive_0,4,Count,22
157,descriptive_0,3,Count,54
158,descriptive_0,0,Count,64
159,descriptive_0,1,Count,64
160,descriptive_0,2,Count,64
161,descriptive_21,0,Count,135
162,descriptive_21,2,Count,79
163,descriptive_21,1,Count,135
164,descriptive_21,3,Count,24
165,descriptive_36,False,Boolean,714
166,descriptive_36,True,Boolean,714
167,descriptive_27,False,Boolean,438
168,descriptive_27,True,Boolean,438
169,descriptive_4,2,Count,19
170,descriptive_4,1,Count,45
171,descriptive_4,0,Count,51
172,descriptive_4,4,Count,8
173,descriptive_4,3,Count,16
174,counterfactual_7,False,Boolean,641
175,counterfactual_7,True,Boolean,641
176,counterfactual_4,1,Count,77
177,counterfactual_4,0,Count,77
178,counterfactual_4,2,Count,32
179,counterfactual_4,3,Count,9
180,counterfactual_4,4,Count,3
181,counterfactual_4,5,Count,1
182,counterfactual_1,True,Boolean,257
183,counterfactual_1,False,Boolean,257
184,prevent_5,1,Count,165
185,prevent_5,0,Count,165
186,prevent_5,3,Count,1
187,prevent_5,2,Count,12
188,counterfactual_5,1,Count,217
189,counterfactual_5,0,Count,202
190,counterfactual_5,2,Count,217
191,counterfactual_5,3,Count,23
192,counterfactual_5,4,Count,5
193,counterfactual_8,True,Boolean,1005
194,counterfactual_8,False,Boolean,1005
195,descriptive_17,0,Count,134
196,descriptive_17,3,Count,48
197,descriptive_17,1,Count,134
198,descriptive_17,2,Count,94
199,enable_3,0,Count,64
200,enable_3,1,Count,64
201,enable_3,2,Count,5
202,prevent_4,1,Count,71
203,prevent_4,0,Count,71
204,prevent_4,2,Count,10
205,descriptive_8,1,Count,71
206,descriptive_8,0,Count,71
207,descriptive_8,2,Count,19
208,descriptive_8,4,Count,2
209,descriptive_8,3,Count,5
210,enable_2,False,Boolean,110
211,enable_2,True,Boolean,110
212,descriptive_28,True,Boolean,167
213,descriptive_28,False,Boolean,203
214,cause_1,False,Boolean,212
215,cause_1,True,Boolean,212
216,enable_0,False,Boolean,180
217,enable_0,True,Boolean,180
218,cause_5,1,Count,112
219,cause_5,0,Count,112
220,cause_5,2,Count,4
221,cause_5,3,Count,3
222,descriptive_1,1,Count,60
223,descriptive_1,0,Count,60
224,descriptive_1,2,Count,16
225,descriptive_1,3,Count,1
226,descriptive_7,2,Count,108
227,descriptive_7,0,Count,88
228,descriptive_7,3,Count,99
229,descriptive_7,1,Count,88
230,descriptive_7,4,Count,23
231,descriptive_7,5,Count,2
