,simulation_id,template_id,count
450,3,descriptive_16,36
451,3,descriptive_20,24
452,3,prevent_4,6
453,3,descriptive_29,4
454,3,prevent_3,4
455,3,cause_0,4
456,3,descriptive_21,9
457,3,descriptive_9,4
458,3,descriptive_35,4
459,3,descriptive_1,3
460,3,prevent_5,6
461,3,descriptive_12,4
462,9,cause_1,70
463,9,counterfactual_1,56
464,9,counterfactual_2,118
465,9,counterfactual_3,12
466,9,counterfactual_5,12
467,9,counterfactual_6,212
468,9,counterfactual_7,192
469,9,counterfactual_8,268
470,9,descriptive_3,130
471,9,descriptive_15,40
472,9,descriptive_20,16
473,9,descriptive_23,176
474,9,descriptive_25,96
475,9,descriptive_26,86
476,9,descriptive_30,120
477,9,descriptive_32,112
478,9,descriptive_36,142
479,9,enable_2,42
480,9,prevent_0,58
481,9,prevent_4,40
482,9,cause_2,72
483,9,counterfactual_0,88
484,9,descriptive_13,52
485,9,prevent_1,28
486,9,prevent_5,66
487,9,cause_3,44
488,9,descriptive_8,44
489,9,descriptive_17,27
490,9,descriptive_19,40
491,9,descriptive_28,20
492,9,descriptive_34,64
493,9,enable_5,6
494,9,descriptive_24,60
495,9,descriptive_10,12
496,9,prevent_2,34
497,9,enable_1,54
498,9,descriptive_22,136
499,9,descriptive_0,40
500,9,cause_0,42
501,9,counterfactual_4,20
502,9,descriptive_18,30
503,9,enable_4,3
504,9,descriptive_7,5
505,9,descriptive_9,20
506,9,descriptive_6,8
507,9,descriptive_11,4
508,9,prevent_3,6
509,9,cause_5,3
510,9,enable_0,12
511,9,descriptive_21,8
512,9,descriptive_4,4
513,9,descriptive_12,5
514,9,descriptive_5,4
515,9,descriptive_14,5
516,9,descriptive_16,4
517,9,enable_3,6
518,9,cause_4,3
519,9,descriptive_1,4
520,9,descriptive_2,5
521,9,descriptive_31,2
522,6,counterfactual_5,57
523,6,counterfactual_6,228
524,6,descriptive_26,62
525,6,descriptive_27,156
526,6,descriptive_31,180
527,6,descriptive_33,140
528,6,descriptive_37,142
529,6,counterfactual_2,120
530,6,counterfactual_8,250
531,6,descriptive_22,192
532,6,descriptive_23,184
533,6,counterfactual_0,90
534,6,descriptive_3,100
535,6,descriptive_24,84
536,6,descriptive_25,72
537,6,prevent_5,70
538,6,counterfactual_4,48
539,6,descriptive_0,16
540,6,descriptive_11,84
541,6,descriptive_17,36
542,6,descriptive_29,38
543,6,descriptive_32,98
544,6,descriptive_35,18
545,6,descriptive_36,92
546,6,enable_5,36
547,6,descriptive_9,14
548,6,enable_1,54
549,6,prevent_1,58
550,6,prevent_0,6
551,6,prevent_3,16
552,6,descriptive_6,24
553,6,descriptive_8,34
554,6,counterfactual_3,27
555,6,descriptive_30,52
556,6,enable_4,50
557,6,counterfactual_1,18
558,6,descriptive_13,68
559,6,descriptive_14,27
560,6,enable_0,34
561,6,descriptive_10,30
562,6,prevent_2,66
563,6,descriptive_2,4
564,6,enable_3,22
565,6,counterfactual_7,34
566,6,enable_2,46
567,6,descriptive_7,12
568,6,descriptive_12,4
569,6,descriptive_15,12
570,6,descriptive_20,9
571,6,descriptive_21,3
572,6,prevent_4,9
573,6,descriptive_5,6
574,6,descriptive_1,3
575,6,descriptive_34,8
576,6,descriptive_4,4
577,6,descriptive_16,3
